G1;G2;G3;G4
1.000000;1.000000;1.000000;1.000000
4.490000;0.100000;0.150000;0.170000
5.846700;0.449000;0.015000;0.025500
7.562600;0.584670;0.067350;0.002550
9.807412;0.756260;0.087701;0.011450
12.725390;0.980741;0.113439;0.014909
16.510618;1.272539;0.147111;0.019285
21.421721;1.651062;0.190881;0.025009
27.793642;2.142172;0.247659;0.032450
36.060901;2.779364;0.321326;0.042102
46.787269;3.606090;0.416905;0.054625
60.704211;4.678727;0.540914;0.070874
78.760767;6.070421;0.701809;0.091955
102.188273;7.876077;0.910563;0.119308
132.584325;10.218827;1.181412;0.154796
172.021726;13.258432;1.532824;0.200840
223.189841;17.202173;1.988765;0.260580
289.577986;22.318984;2.580326;0.338090
375.713383;28.957799;3.347848;0.438655
487.469880;37.571338;4.343670;0.569134
632.468510;48.746988;5.635701;0.738424
820.597196;63.246851;7.312048;0.958069
1064.685035;82.059720;9.487028;1.243048
1381.377160;106.468504;12.308958;1.612795
1792.269821;138.137716;15.970276;2.092523
2325.383108;179.226982;20.720657;2.714947
3017.071723;232.538311;26.884047;3.522512
3914.504130;301.707172;34.880747;4.570288
5078.879123;391.450413;45.256076;5.929727
6589.599165;507.887912;58.717562;7.693533
8549.685099;658.959917;76.183187;9.981986
11092.801467;854.968510;98.843987;12.951142
14392.371528;1109.280147;128.245276;16.803478
18673.403541;1439.237153;166.392022;21.801697
24227.834804;1867.340354;215.885573;28.286644
31434.439790;2422.783480;280.101053;36.700547
40784.659995;3143.443979;363.417522;47.617179
52916.116910;4078.465999;471.516597;61.780979
68656.093471;5291.611691;611.769900;80.157821
89077.949139;6865.609347;793.741754;104.000883
115574.315718;8907.794914;1029.841402;134.936098
149952.065385;11557.431572;1336.169237;175.073038
194555.527096;14995.206538;1733.614736;227.148770
252426.353892;19455.552710;2249.280981;294.714505
327510.942969;25242.635389;2918.332906;382.377767
424929.553157;32751.094297;3786.395308;496.116594
551325.471783;42492.955316;4912.664145;643.687202
715318.041729;55132.547178;6373.943297;835.152905
928090.442053;71531.804173;8269.882077;1083.570361
1204152.304825;92809.044205;10729.770626;1405.879953
