vx	vy	sx	sy
1.000000	1.000000	0.000000	58.000000
1.000000	0.019000	0.100000	58.100000
1.000000	-0.962000	0.200000	58.101900
1.000000	-1.943000	0.300000	58.005700
1.000000	-2.924000	0.400000	57.811400
1.000000	-3.905000	0.500000	57.519000
1.000000	-4.886000	0.600000	57.128500
1.000000	-5.867000	0.700000	56.639900
1.000000	-6.848000	0.800000	56.053200
1.000000	-7.829000	0.900000	55.368400
1.000000	-8.810000	1.000000	54.585500
1.000000	-9.791000	1.100000	53.704500
1.000000	-10.772000	1.200000	52.725400
1.000000	-11.753000	1.300000	51.648200
1.000000	-12.734000	1.400000	50.472900
1.000000	-13.715000	1.500000	49.199500
1.000000	-14.696000	1.600000	47.828000
1.000000	-15.677000	1.700000	46.358400
1.000000	-16.658000	1.800000	44.790700
1.000000	-17.639000	1.900000	43.124900
1.000000	-18.620000	2.000000	41.361000
1.000000	-19.601000	2.100000	39.499000
1.000000	-20.582000	2.200000	37.538900
1.000000	-21.563000	2.300000	35.480700
1.000000	-22.544000	2.400000	33.324400
1.000000	-23.525000	2.500000	31.070000
1.000000	-24.506000	2.600000	28.717500
1.000000	-25.487000	2.700000	26.266900
1.000000	-26.468000	2.800000	23.718200
1.000000	-27.449000	2.900000	21.071400
1.000000	-28.430000	3.000000	18.326500
1.000000	-29.411000	3.100000	15.483500
1.000000	-30.392000	3.200000	12.542400
1.000000	-31.373000	3.300000	9.503200
1.000000	-32.354000	3.400000	6.365900
1.000000	-33.335000	3.500000	3.130500
1.000000	-34.316000	3.600000	-0.203000
